code,name,credits,semester,prerequisites,specializations,requirement_group,level_requirement
AI310,Artificial Intelligence,3,1,CS316,"AI,CS,IS,IT","AI_CORE,CS_CORE,IS_ELECTIVE,IT_CORE",0
AI320,Convex Optimization Theory,3,1,MA113,AI,AI_CORE,0
AI330,Machine Learning,3,1,ST112,"AI,CS","AI_CORE,CS_CORE",0
AI335,Neural Networks and Deep Learning,3,1,AI330,"AI,CS","AI_CORE,CS_ELECTIVE",0
AI350,Data Visualization,3,x,ST112,"AI,CS","AI_ELECTIVE,CS_ELECTIVE",0
AI360,Natural Language Processing,3,x,AI310,"AI,CS","AI_CORE,CS_ELECTIVE",0
AI370,Advanced Machine Learning,3,2,AI330,AI,AI_CORE,0
AI380,Human Computer Interaction,3,x,AI310,"AI,CS","AI_ELECTIVE,CS_ELECTIVE",0
AI420,Evolutionary Algorithm,3,2,AI320,AI,AI_CORE,0
AI430,Computational Intelligence,3,2,AI310,AI,AI_CORE,0
AI435,Spoken Language Processing,3,x,AI360,AI,AI_ELECTIVE,0
AI457,Knowledge Representation,3,x,AI310,AI,AI_ELECTIVE,0
AI460,Natural Language Understanding,3,2,AI360,AI,AI_CORE,0
AI490,Bioinformatics,3,x,AI310,AI,AI_ELECTIVE,0
AI496,Selected Topics in Artificial Intelligence,3,x,NONE,AI,AI_ELECTIVE,4
AI498,Project,6,1,CS251,AI,AI_CORE,0
CS111,Introduction to Computers,3,1,NONE,GENERAL,FACULTY_CORE,0
CS112,Programming 1,3,2,CS111,GENERAL,FACULTY_CORE,0
CS213,Programming 2,3,1,CS112,GENERAL,FACULTY_CORE,0
CS214,Data Structures,3,1,CS112,GENERAL,FACULTY_CORE,0
CS221,Logic Design,3,1,NONE,GENERAL,FACULTY_CORE,0
CS241,Operating Systems 1,3,1,CS112,GENERAL,FACULTY_CORE,0
CS251,Software Engineering 1,3,2,CS112,GENERAL,FACULTY_CORE,0
CS313,Programming 3,3,1,CS213,GENERAL,FACULTY_CHOOSE_3,0
CS316,Algorithms,3,2,CS214,GENERAL,FACULTY_CORE,0
CS322,Computer Organization,3,1,CS221,CS,CS_CORE,0
CS342,Operating Systems 2,3,1,CS241,CS,CS_CORE,0
CS352,Software Engineering 2,3,2,CS251,"CS,IS,IT","CS_CORE,IS_ELECTIVE,IT_ELECTIVE",0
CS405,Theory of Computation,3,2,MA112,CS,CS_CORE,0
CS410,Concepts of Programming Languages,3,1,CS112,CS,CS_ELECTIVE,0
CS416,Advanced Algorithms,3,x,CS316,"AI,CS","AI_ELECTIVE,CS_ELECTIVE",0
CS419,Compilers,3,2,CS214,CS,CS_CORE,0
CS460,Distributed Systems and Cloud Computing,3,2,IT222,"AI,CS","AI_ELECTIVE,CS_CORE",0
CS471,Parallel Processing and High Performance Computing,3,1,CS241,"AI,CS","AI_ELECTIVE,CS_CORE",0
CS480,Cryptography,3,x,ST121,"AI,CS","AI_ELECTIVE,CS_ELECTIVE",0
CS496,Selected Topics in Computer Science,3,x,NONE,CS,CS_ELECTIVE,4
CS498,Project,6,1,CS251,CS,CS_CORE,0
HU111,English 1,2,1,NONE,GENERAL,UNIVERSITY_MANDATORY,0
HU112,English 2,2,2,NONE,GENERAL,UNIVERSITY_MANDATORY,0
HU121,Fundamentals of Economics,3,2,NONE,GENERAL,UNIVERSITY_CHOOSE_2,0
HU122,Fundamentals of Management,3,2,NONE,GENERAL,FACULTY_CHOOSE_3,0
HU313,Human Rights,2,1,NONE,GENERAL,UNIVERSITY_MANDATORY,0
HU323,Fundamentals of Accounting,3,1,NONE,GENERAL,UNIVERSITY_CHOOSE_2,0
HU334,Professional Ethics,3,1,NONE,GENERAL,UNIVERSITY_CHOOSE_2,0
IS211,Database System 1,3,1,NONE,GENERAL,FACULTY_CORE,0
IS231,Fundamentals of Information Systems,3,1,NONE,GENERAL,FACULTY_CORE,0
IS240,Operation Research,3,2,NONE,GENERAL,FACULTY_CORE,0
IS241,Modeling and Simulation,3,2,NONE,GENERAL,FACULTY_CHOOSE_3,0
IS312,Database Systems 2,3,1,IS211,"AI,CS,IS,IT","AI_ELECTIVE,CS_ELECTIVE,IS_CORE,IT_ELECTIVE",0
IS313,Data Storage and Retrieval,3,1,IS211,IS,IS_CORE,0
IS321,Project Management,3,2,IS240,GENERAL,FACULTY_CHOOSE_3,0
IS333,Management Information System,3,2,IS231,IS,IS_CORE,0
